Nr uczestnika;Preferencje
188;Folk,65|Alternative,35
189;Folk,15|Anime,85
190;Instrumental,8|Country,92
191;Pop,50|Vocal,50
192;Instrumental,75|Latin,25
193;Electronic,85|Country,15
194;Classical,79|Dance,21
195;Vocal,90|Country,10
196;Pop,91|Latin,9
197;Alternative,37|Anime,63
198;Dance,2|Blues,98
199;Vocal,4|Pop,96
200;Reggae,100
201;Folk,8|Pop,92
202;Country,2|Alternative,98
203;Country,74|Reggae,26
204;Comedy,11|Dance,89
205;Latin,97|Electronic,3
206;Metal,27|Comedy,73
207;Blues,60|Alternative,40
208;Folk,85|Rock,15
209;Blues,99|Electronic,1
210;Blues,36|Industrial,64
211;Instrumental,94|Comedy,6
212;Blues,96|Pop,4
213;Jazz,19|Classical,81
214;Jazz,80|Folk,20
215;Country,31|Jazz,69
216;Electronic,69|Jazz,31
217;Comedy,63|Electronic,37
218;Rock,25|R&B/Soul,75
219;Vocal,3|Pop,97
220;World,52|Metal,48
221;Folk,82|Latin,18
222;Country,95|Alternative,5
223;Anime,49|Rock,51
224;Anime,3|R&B/Soul,97
225;R&B/Soul,2|Vocal,98
226;Alternative,49|Classical,51
227;Instrumental,50|Reggae,50
228;Industrial,63|Latin,37
229;Vocal,29|Dance,71
230;Vocal,40|Jazz,60
231;R&B/Soul,48|Instrumental,52
232;Jazz,37|Instrumental,63
233;Comedy,54|Industrial,46
234;Industrial,8|Blues,92
235;Instrumental,45|Jazz,55
236;Blues,23|Blues,77
237;Dance,18|Blues,82
238;Alternative,58|Country,42
239;Instrumental,80|World,20
240;Classical,63|Reggae,37
241;Latin,66|Classical,34
242;Classical,94|Anime,6
243;World,41|Rock,59
244;Reggae,88|Reggae,12
245;Instrumental,87|Latin,13
246;Vocal,37|R&B/Soul,63
247;Metal,69|Jazz,31
248;Classical,7|Comedy,93
249;World,42|R&B/Soul,58
250;Jazz,37|Vocal,63
251;Country,48|Reggae,52
252;World,20|World,80
253;Reggae,40|Jazz,60
254;Latin,14|Electronic,86
255;Instrumental,97|Industrial,3
256;Dance,0|Vocal,100
257;Folk,72|Reggae,28
258;Pop,11|Rock,89
259;Blues,94|Pop,6
260;Latin,1|Rock,99
261;Folk,28|Classical,72
262;Blues,52|Alternative,48
263;Pop,12|Pop,88
264;Pop,52|Vocal,48
265;Alternative,57|Electronic,43
266;Latin,24|Latin,76
267;Anime,1|Dance,99
268;Anime,15|Folk,85
269;Folk,81|Rock,19
270;Vocal,67|Jazz,33
271;Country,61|Industrial,39
272;Country,9|Folk,91
273;Comedy,77|Industrial,23
274;Latin,93|Industrial,7
275;R&B/Soul,16|Industrial,84
276;Comedy,78|Latin,22
277;Metal,2|Pop,98
278;Metal,48|Jazz,52
279;Industrial,65|Electronic,35
280;Dance,13|Classical,87
281;Classical,4|Blues,96
282;Industrial,49|World,51
283;Alternative,11|Alternative,89
284;R&B/Soul,18|Dance,82
285;Folk,66|Industrial,34
286;Latin,70|Reggae,30
287;Classical,63|Pop,37
288;Jazz,99|Classical,1
289;Reggae,8|Anime,92
290;Dance,18|Metal,82
291;Metal,27|Comedy,73
292;Jazz,93|Dance,7
293;Rock,35|Pop,65
294;Country,41|Blues,59
295;Pop,89|Comedy,11
296;Blues,8|Latin,92
297;Country,67|Comedy,33
298;Metal,33|Industrial,67
299;Pop,46|Alternative,54
300;Metal,15|Instrumental,85
301;Vocal,55|World,45
302;Industrial,41|Anime,59
303;Anime,37|Dance,63
304;Rock,2|Jazz,98
305;Pop,82|Latin,18
306;Reggae,2|Country,98
307;Instrumental,22|World,78
308;Classical,82|Instrumental,18
309;Comedy,22|Jazz,78
310;Blues,50|Blues,50
311;Industrial,7|Classical,93
312;Latin,61|R&B/Soul,39
313;Electronic,64|Comedy,36
314;R&B/Soul,100
315;Blues,7|Vocal,93
316;Country,55|Rock,45
317;Blues,97|Dance,3
318;Rock,75|Folk,25
319;Alternative,68|Folk,32
320;Metal,1|R&B/Soul,99
321;Dance,36|Jazz,64
322;Industrial,26|Rock,74
323;Latin,66|Alternative,34
324;Classical,9|Vocal,91
325;Rock,96|Dance,4
326;R&B/Soul,74|Dance,26
327;Vocal,61|Anime,39
328;Jazz,31|Dance,69
329;Alternative,69|Vocal,31
330;Classical,32|Classical,68
331;Rock,73|Folk,27
332;Instrumental,48|Industrial,52
333;Jazz,17|Vocal,83
334;R&B/Soul,70|Vocal,30
335;Country,41|Jazz,59
336;Rock,64|Reggae,36
337;Alternative,4|Folk,96
338;Reggae,30|Jazz,70
339;R&B/Soul,84|Blues,16
340;Metal,27|Instrumental,73
341;Classical,59|Latin,41
342;World,27|Dance,73
343;Country,18|Anime,82
344;Dance,46|Rock,54
345;R&B/Soul,48|Vocal,52
346;Vocal,42|Anime,58
347;Metal,16|Vocal,84
348;Vocal,51|Country,49
349;Comedy,45|Blues,55
350;Reggae,72|Comedy,28
351;Vocal,26|World,74
352;Alternative,16|Dance,84
353;Electronic,35|Vocal,65
354;Pop,10|Jazz,90
355;Pop,26|Blues,74
356;Pop,40|Classical,60
357;Rock,70|Reggae,30
358;Instrumental,92|Industrial,8
359;Reggae,76|Blues,24
360;Vocal,52|Vocal,48
361;Rock,47|Metal,53
362;Vocal,80|Comedy,20
363;Reggae,13|Classical,87
364;Classical,59|Dance,41
365;Instrumental,46|Comedy,54
366;Latin,61|R&B/Soul,39
367;Jazz,94|R&B/Soul,6
368;Alternative,33|Reggae,67
369;Rock,85|Dance,15
370;Metal,93|Rock,7
371;Instrumental,92|Metal,8
372;Classical,30|Industrial,70
373;Jazz,50|Instrumental,50
374;Electronic,92|Reggae,8
375;Pop,17|Dance,83
376;R&B/Soul,44|Alternative,56
377;Electronic,88|Industrial,12
378;Anime,52|Rock,48
379;Electronic,76|Blues,24
380;Alternative,85|Industrial,15
381;Latin,34|Vocal,66
382;Folk,35|Industrial,65
383;Electronic,61|Folk,39
384;Dance,76|Electronic,24
385;Vocal,39|Anime,61
386;Jazz,72|Vocal,28
387;Industrial,84|Comedy,16
388;Electronic,5|Electronic,95
389;Blues,87|Electronic,13
390;Classical,47|Industrial,53
391;Latin,55|Latin,45
392;Reggae,55|Folk,45
393;World,3|World,97
394;R&B/Soul,18|Vocal,82
395;Classical,54|Dance,46
396;Country,41|World,59
397;Alternative,63|Country,37
398;Reggae,90|Anime,10
399;Metal,22|World,78
400;Pop,48|Anime,52
401;Folk,76|Blues,24
402;Folk,91|Pop,9
403;Industrial,23|Reggae,77
404;Industrial,87|Blues,13
405;Latin,22|Comedy,78
406;Classical,23|Comedy,77
407;Folk,33|Classical,67
408;World,87|R&B/Soul,13
409;Pop,52|R&B/Soul,48
410;World,99|R&B/Soul,1
411;Blues,59|Blues,41
412;Classical,59|Folk,41
413;Dance,2|Classical,98
414;Country,80|Jazz,20
415;Vocal,66|Vocal,34
416;R&B/Soul,76|Latin,24
417;Instrumental,21|R&B/Soul,79
418;Anime,81|Metal,19
419;Pop,1|Reggae,99
420;Blues,16|Pop,84
421;Alternative,0|Electronic,100
422;Folk,43|Electronic,57
423;Electronic,15|Anime,85
424;Rock,100
425;Folk,38|Metal,62
426;Latin,93|Folk,7
427;Vocal,56|Vocal,44
428;R&B/Soul,15|Alternative,85
429;Blues,66|Latin,34
430;World,63|Anime,37
431;Instrumental,32|Comedy,68
432;Anime,34|Rock,66
433;Metal,83|Reggae,17
434;Anime,96|Jazz,4
435;Metal,83|Jazz,17
436;Anime,80|Instrumental,20
437;Country,9|Country,91
438;Jazz,7|Reggae,93
439;Blues,60|R&B/Soul,40
440;Dance,9|World,91
441;Anime,90|Electronic,10
442;Metal,15|Metal,85
443;Alternative,52|Alternative,48
444;Jazz,27|Alternative,73
445;World,13|Reggae,87
446;Comedy,12|Classical,88
447;Metal,21|Rock,79
448;Electronic,67|Pop,33
449;Country,32|Classical,68
450;Pop,0|Latin,100
451;Classical,67|Alternative,33
452;Instrumental,99|Country,1
453;Industrial,45|Rock,55
454;Dance,80|Jazz,20
455;Alternative,78|Comedy,22
456;Comedy,100
457;Country,74|Dance,26
458;Rock,58|Classical,42
459;Vocal,53|Industrial,47
460;Classical,50|Instrumental,50
461;Rock,1|Dance,99
462;Comedy,5|R&B/Soul,95
463;R&B/Soul,27|R&B/Soul,73
464;Rock,49|World,51
465;Anime,37|Jazz,63
466;Blues,8|Electronic,92
467;Instrumental,29|Folk,71
468;World,9|Jazz,91
469;Electronic,68|Folk,32
470;Instrumental,53|Vocal,47
471;Reggae,97|Classical,3
472;Industrial,13|Jazz,87
473;Latin,71|Reggae,29
474;Instrumental,8|Reggae,92
475;World,36|Alternative,64
476;World,93|Anime,7
477;Dance,57|Instrumental,43
478;Reggae,49|Folk,51
479;Industrial,31|Electronic,69
480;Folk,27|Reggae,73
481;Reggae,96|Comedy,4
482;Vocal,94|Alternative,6
483;Blues,3|Vocal,97
484;Latin,28|Latin,72
485;Reggae,7|Jazz,93
486;Reggae,75|Comedy,25
487;Electronic,87|Comedy,13
488;Classical,22|Vocal,78
489;Electronic,32|Anime,68
490;Country,90|Rock,10
491;Comedy,84|Metal,16
492;Country,20|Latin,80
493;Country,96|Classical,4
494;Folk,55|Anime,45
495;Rock,88|Classical,12
496;Metal,46|Metal,54
497;Folk,27|Pop,73
498;Pop,55|Alternative,45
499;Blues,32|World,68
500;Reggae,19|Jazz,81
501;Comedy,93|Classical,7
502;Alternative,38|Instrumental,62
503;Metal,97|Latin,3
504;Metal,22|Rock,78
505;Dance,33|Instrumental,67
506;Anime,35|Industrial,65
507;Jazz,15|Industrial,85
508;Country,29|Rock,71
509;Industrial,68|Dance,32
510;Reggae,23|Vocal,77
511;Instrumental,96|Industrial,4
512;Jazz,32|World,68
513;Dance,66|Anime,34
514;Vocal,75|Alternative,25
515;Reggae,56|Country,44
516;Folk,69|R&B/Soul,31
517;Alternative,16|Metal,84
518;Latin,40|Blues,60
519;Classical,84|Anime,16
520;Country,54|World,46
521;Folk,5|Pop,95
522;Rock,69|Industrial,31
523;Folk,27|Latin,73
524;Jazz,28|Pop,72
525;World,36|Vocal,64
526;Jazz,14|Electronic,86
527;Instrumental,87|Industrial,13
528;Pop,82|Country,18
529;Vocal,100
530;Folk,60|Country,40
531;Alternative,53|Alternative,47
532;Comedy,99|Latin,1
533;Jazz,48|Jazz,52
534;Industrial,19|Instrumental,81
535;Classical,58|Comedy,42
536;Reggae,3|R&B/Soul,97
537;Reggae,82|Reggae,18
538;Industrial,95|Comedy,5
539;Rock,40|R&B/Soul,60
540;Instrumental,36|Reggae,64
541;R&B/Soul,31|Rock,69
542;Reggae,10|Alternative,90
543;Electronic,43|Pop,57
544;Jazz,32|Rock,68
545;Classical,70|Alternative,30
546;Industrial,14|R&B/Soul,86
547;Pop,80|World,20
548;Vocal,86|Electronic,14
549;Vocal,56|Pop,44
550;Dance,56|Classical,44
551;Anime,21|Electronic,79
552;Classical,43|World,57
553;Country,81|Electronic,19
554;Dance,52|Rock,48
555;Latin,28|Instrumental,72
556;R&B/Soul,89|Comedy,11
557;World,47|R&B/Soul,53
558;Rock,42|Electronic,58
559;Rock,68|Blues,32
560;Jazz,18|Anime,82
561;Anime,51|Jazz,49
562;Vocal,6|Alternative,94
563;Vocal,39|Folk,61
564;Folk,86|Industrial,14
565;Metal,45|Pop,55
566;Instrumental,25|Pop,75
567;Pop,37|Reggae,63
568;Latin,97|Vocal,3
569;World,82|Latin,18
570;Instrumental,76|Jazz,24
571;Industrial,46|Electronic,54
572;World,37|Instrumental,63
573;Rock,28|Latin,72
574;Country,38|Classical,62
575;Industrial,30|Anime,70
576;Jazz,27|Latin,73
577;Folk,59|Country,41
578;Metal,34|Industrial,66
579;Anime,73|Reggae,27
580;World,96|Dance,4
581;Electronic,76|Industrial,24
582;Alternative,26|Folk,74
583;Latin,68|R&B/Soul,32
584;Dance,43|Jazz,57
585;Vocal,85|R&B/Soul,15
586;Metal,33|Reggae,67
587;Electronic,24|Reggae,76
588;World,63|Dance,37
589;Reggae,73|Latin,27
590;Reggae,30|World,70
591;Instrumental,93|Pop,7
592;Vocal,92|Rock,8
593;Anime,100
594;Pop,6|World,94
595;Instrumental,84|Industrial,16
596;Instrumental,66|Metal,34
597;Electronic,53|Blues,47
598;Jazz,89|Blues,11
599;Country,0|Folk,100
600;Dance,45|World,55
601;Blues,30|Jazz,70
602;Country,93|Instrumental,7
603;Instrumental,11|Vocal,89
604;Latin,54|Blues,46
605;Blues,69|R&B/Soul,31
606;Rock,80|Classical,20
607;R&B/Soul,50|Anime,50
608;Metal,76|Pop,24
609;Blues,26|Jazz,74
610;Classical,10|Anime,90
611;Comedy,35|Pop,65
612;Dance,73|Blues,27
613;Industrial,44|Latin,56
614;Jazz,69|Metal,31
615;Country,15|Vocal,85
616;Pop,4|Country,96
617;Metal,26|Jazz,74
618;Folk,66|Electronic,34
619;Reggae,81|Classical,19
620;Electronic,86|Folk,14
621;Rock,61|Electronic,39
622;Blues,30|Electronic,70
623;Anime,74|Folk,26
624;Comedy,87|R&B/Soul,13
625;Latin,47|Anime,53
626;Vocal,15|R&B/Soul,85
627;Instrumental,52|R&B/Soul,48
628;World,94|Dance,6
629;Metal,31|Comedy,69
630;Blues,14|Jazz,86
631;Dance,13|Industrial,87
632;Electronic,79|Alternative,21
633;Jazz,86|Pop,14
634;Metal,39|Country,61
635;Blues,41|Industrial,59
636;Electronic,28|Comedy,72
637;Blues,24|Dance,76
638;Instrumental,36|Electronic,64
639;Industrial,82|Industrial,18
640;R&B/Soul,80|Latin,20
641;Dance,19|Country,81
642;World,28|Metal,72
643;Country,18|Folk,82
644;Instrumental,21|Folk,79
645;Folk,91|Country,9
646;Folk,83|Metal,17
647;Anime,84|Blues,16
648;Electronic,15|Instrumental,85
649;Metal,17|World,83
650;Dance,80|Rock,20
651;R&B/Soul,72|Blues,28
652;Instrumental,12|Anime,88
653;Anime,85|Reggae,15
654;Industrial,82|Anime,18
655;Industrial,43|World,57
656;Anime,10|Reggae,90
657;Instrumental,34|Industrial,66
658;Rock,14|Metal,86
659;Instrumental,48|Country,52
660;Reggae,83|World,17
661;Blues,11|Latin,89
662;Blues,11|World,89
663;R&B/Soul,5|Instrumental,95
664;Comedy,4|Vocal,96
665;Jazz,50|Dance,50
666;Rock,22|Comedy,78
667;Industrial,45|Metal,55
668;Metal,66|R&B/Soul,34
669;Country,17|Blues,83
670;Electronic,19|Instrumental,81
671;Latin,0|Latin,100
672;Reggae,63|Alternative,37
673;Jazz,4|Alternative,96
674;Country,10|Folk,90
675;Instrumental,57|Latin,43
676;World,14|Vocal,86
677;Electronic,60|Instrumental,40
678;Alternative,31|Industrial,69
679;Anime,34|Classical,66
680;Pop,81|Instrumental,19
681;Country,86|Folk,14
682;Industrial,29|Latin,71
683;Metal,100
684;Anime,3|Latin,97
685;Anime,7|Classical,93
686;Instrumental,96|R&B/Soul,4
687;Anime,60|Folk,40
688;Instrumental,40|Latin,60
689;Vocal,52|Blues,48
690;Comedy,37|Rock,63
691;Country,67|World,33
692;Metal,16|World,84
693;Comedy,43|Latin,57
694;Jazz,83|Classical,17
695;R&B/Soul,81|Vocal,19
696;Folk,55|World,45
697;Jazz,41|Alternative,59
698;Dance,37|Metal,63
699;Reggae,21|Instrumental,79
700;Anime,92|Instrumental,8
701;Classical,78|Reggae,22
702;Classical,5|Alternative,95
703;Latin,27|Reggae,73
704;Folk,46|Alternative,54
705;Alternative,32|World,68
706;Country,41|Instrumental,59
707;Latin,75|Industrial,25
708;R&B/Soul,4|Classical,96
709;Comedy,78|R&B/Soul,22
710;Industrial,70|Jazz,30
711;Folk,50|Pop,50
712;Vocal,4|Electronic,96
713;Rock,81|Dance,19
714;Alternative,0|Vocal,100
715;Reggae,15|Alternative,85
716;Blues,11|Vocal,89
717;Dance,59|Rock,41
718;Vocal,74|Metal,26
719;Instrumental,1|Anime,99
720;Vocal,61|Alternative,39
721;Vocal,55|Latin,45
722;Metal,72|Dance,28
723;Anime,37|Industrial,63
724;Alternative,41|Rock,59
725;World,54|Classical,46
726;Folk,56|World,44
727;Classical,73|Latin,27
728;Instrumental,74|Folk,26
729;R&B/Soul,9|R&B/Soul,91
730;Classical,43|World,57
731;Latin,90|Latin,10
732;Anime,26|Country,74
733;Country,78|Reggae,22
734;Dance,68|Dance,32
735;Latin,75|Instrumental,25
736;Vocal,20|Comedy,80
737;Dance,69|Reggae,31
738;Alternative,36|Jazz,64
739;Comedy,13|Jazz,87
740;Anime,67|Vocal,33
741;Latin,49|R&B/Soul,51
742;Jazz,95|Reggae,5
743;Pop,79|R&B/Soul,21
744;Dance,92|Pop,8
745;Folk,39|Folk,61
746;Metal,56|Comedy,44
747;Comedy,99|Blues,1
748;Alternative,3|World,97
749;Metal,44|Classical,56
750;Latin,24|Reggae,76
751;Latin,82|Reggae,18
752;Blues,28|World,72
753;Country,50|Jazz,50
754;Rock,45|Jazz,55
755;Reggae,92|Reggae,8
756;Country,69|Pop,31
757;Instrumental,37|Rock,63
758;Classical,2|Reggae,98
759;World,40|Vocal,60
760;Pop,80|World,20
761;Latin,15|R&B/Soul,85
762;Anime,64|World,36
763;Rock,39|World,61
764;Alternative,72|Metal,28
765;Anime,80|Industrial,20
766;Metal,29|Blues,71
767;World,10|Jazz,90
768;Country,66|Metal,34
769;Instrumental,44|Alternative,56
770;Latin,12|Comedy,88
771;Industrial,74|Classical,26
772;Metal,78|Country,22
773;Reggae,44|Folk,56
774;Comedy,30|Electronic,70
775;Jazz,16|Blues,84
776;Industrial,65|Latin,35
777;Rock,4|Folk,96
778;Reggae,84|Vocal,16
779;Blues,33|R&B/Soul,67
780;Latin,53|Anime,47
781;Reggae,74|Rock,26
782;Classical,24|Country,76
783;Latin,70|Folk,30
784;Instrumental,3|Dance,97
785;Dance,65|Classical,35
786;Vocal,58|Electronic,42
787;Metal,8|Industrial,92
788;Classical,37|Latin,63
789;Metal,91|Jazz,9
790;Rock,75|Country,25
791;Latin,64|Blues,36
792;Rock,68|Anime,32
793;Instrumental,42|Alternative,58
794;Industrial,74|Industrial,26
795;Comedy,94|Dance,6
796;World,56|Folk,44
797;Classical,84|Metal,16
798;Vocal,67|Folk,33
799;R&B/Soul,88|Alternative,12
800;Pop,38|Industrial,62
801;Classical,48|Electronic,52
802;Latin,22|Anime,78
803;R&B/Soul,69|Country,31
804;Jazz,61|Rock,39
805;Instrumental,45|Pop,55
806;Reggae,7|Dance,93
807;Latin,27|World,73
808;Anime,70|Dance,30
809;Folk,84|Latin,16
810;Classical,7|Instrumental,93
811;Instrumental,40|Reggae,60
812;Industrial,31|Anime,69
813;Rock,20|Anime,80
814;Anime,37|Anime,63
815;Dance,96|Folk,4
816;R&B/Soul,100
817;Electronic,94|World,6
818;Rock,2|Rock,98
819;Metal,5|Pop,95
820;Pop,74|Latin,26
821;Rock,46|Instrumental,54
822;Jazz,93|Classical,7
823;Electronic,1|Alternative,99
824;Country,62|Jazz,38
825;Folk,98|Latin,2
826;R&B/Soul,89|Vocal,11
827;Vocal,57|Alternative,43
828;R&B/Soul,16|Classical,84
829;Jazz,91|Alternative,9
830;Dance,48|Latin,52
831;Industrial,24|Reggae,76
832;Vocal,87|Comedy,13
833;Latin,35|Alternative,65
834;Dance,44|Industrial,56
835;Instrumental,87|Alternative,13
836;Folk,99|Anime,1
837;Rock,67|Instrumental,33
838;Dance,74|Folk,26
839;Dance,16|R&B/Soul,84
840;Latin,36|Anime,64
841;World,16|World,84
842;Pop,20|Comedy,80
843;Rock,57|Reggae,43
844;Jazz,81|Reggae,19
845;Dance,20|Dance,80
846;Anime,52|Country,48
847;Rock,27|Vocal,73
848;Classical,82|Instrumental,18
849;Jazz,78|Vocal,22
850;Latin,27|Metal,73
851;Blues,25|Jazz,75
852;Blues,97|Metal,3
853;Comedy,23|Reggae,77
854;Anime,95|Dance,5
855;R&B/Soul,11|Latin,89
856;Metal,21|Rock,79
857;Dance,97|Classical,3
858;Latin,8|Reggae,92
859;Jazz,98|Folk,2
860;Latin,21|R&B/Soul,79
861;Pop,30|Industrial,70
862;Instrumental,2|Latin,98
863;Comedy,68|Rock,32
864;Industrial,86|Comedy,14
865;Metal,41|Metal,59
866;Anime,33|Jazz,67
867;Dance,6|Vocal,94
868;Jazz,38|Country,62
869;World,23|Pop,77
870;World,66|Jazz,34
871;Blues,89|Reggae,11
872;Country,76|Industrial,24
873;Blues,79|Reggae,21
874;Classical,47|R&B/Soul,53
875;Alternative,59|Blues,41
876;Pop,45|Industrial,55
877;Rock,52|Country,48
878;Folk,98|Instrumental,2
879;Folk,49|Reggae,51
880;Alternative,64|Alternative,36
881;Instrumental,19|Folk,81
882;Folk,0|Reggae,100
883;Folk,64|Classical,36
884;Metal,47|Pop,53
885;Vocal,11|World,89
886;Industrial,11|Alternative,89
887;Electronic,80|Reggae,20
888;Instrumental,78|Classical,22
889;Anime,16|Metal,84
890;Classical,86|Reggae,14
891;Dance,27|Reggae,73
892;Reggae,3|Folk,97
893;Latin,40|Vocal,60
894;Rock,50|Comedy,50
895;Blues,74|Country,26
896;Anime,86|Blues,14
897;Dance,58|World,42
898;Comedy,57|R&B/Soul,43
899;Classical,36|Jazz,64
900;World,13|Alternative,87
901;World,48|Vocal,52
902;Comedy,65|Classical,35
903;Electronic,44|Reggae,56
904;Country,26|Comedy,74
905;Pop,97|R&B/Soul,3
906;Industrial,11|R&B/Soul,89
907;Jazz,67|Alternative,33
908;Electronic,96|Electronic,4
909;Electronic,33|Metal,67
910;Dance,38|Country,62
911;Alternative,23|Electronic,77
912;Jazz,44|Industrial,56
913;Blues,11|Dance,89
914;R&B/Soul,17|Country,83
915;Folk,94|Electronic,6
916;Country,72|Alternative,28
917;Classical,71|Alternative,29
918;Rock,85|Blues,15
919;Folk,80|Classical,20
920;Latin,22|Pop,78
921;Folk,39|Anime,61
922;Electronic,66|Jazz,34
923;Comedy,87|Folk,13
924;Industrial,95|Pop,5
925;Comedy,61|Metal,39
926;Dance,55|Latin,45
927;Industrial,15|Metal,85
928;Country,25|Comedy,75
929;Blues,76|Vocal,24
930;Pop,82|Instrumental,18
931;Rock,6|Electronic,94
932;Alternative,22|Vocal,78
933;Pop,67|World,33
934;Comedy,12|Comedy,88
935;Pop,94|Alternative,6
