Nr utworu;Rodzaj utworu;Czas utworu
144;R&B/Soul;390
145;Electronic;172
146;Rock;574
147;Folk;402
148;Alternative;590
149;Instrumental;530
150;Electronic;299
151;Metal;589
152;Jazz;563
153;Pop;365
154;Comedy;274
155;Latin;411
156;Electronic;166
157;Alternative;258
158;Rock;512
159;Electronic;272
160;Vocal;283
161;World;170
162;Folk;438
163;World;194
164;Vocal;307
165;Folk;485
166;Rock;325
167;Rock;132
168;Blues;347
169;Jazz;297
170;Industrial;195
171;Industrial;249
172;World;424
173;World;356
174;Jazz;362
175;Comedy;450
176;Reggae;478
177;Classical;545
178;Metal;410
179;Metal;394
180;Classical;375
181;Dance;99
182;Instrumental;198
183;Instrumental;270
184;Anime;265
185;R&B/Soul;224
186;Jazz;360
187;Classical;357
188;Instrumental;499
189;Metal;339
190;Alternative;432
191;Dance;401
192;Anime;582
193;Comedy;279
194;Instrumental;473
195;Comedy;92
196;Pop;99
197;Blues;309
198;World;271
199;Comedy;233
200;Alternative;353
201;Classical;597
202;Anime;86
203;Alternative;587
204;Instrumental;209
205;Comedy;557
206;Vocal;477
207;Vocal;430
208;Country;134
209;Alternative;203
210;Latin;467
211;Comedy;526
212;Pop;560
213;R&B/Soul;449
214;Pop;232
215;Jazz;105
216;World;245
217;Instrumental;252
218;Jazz;92
219;Classical;398
220;Folk;581
221;Latin;260
222;Industrial;587
223;Electronic;88
224;Dance;312
225;Blues;468
226;Pop;521
227;Electronic;340
228;R&B/Soul;121
229;Metal;458
230;Latin;76
231;Reggae;71
232;World;338
233;Blues;491
234;Metal;426
235;Classical;112
236;Blues;217
237;Comedy;417
238;Alternative;370
239;Alternative;562
240;Jazz;450
241;Dance;357
242;Industrial;578
243;Alternative;471
244;Pop;75
245;Folk;371
246;Blues;438
247;Metal;389
248;Electronic;454
249;Folk;250
250;R&B/Soul;117
251;Folk;535
252;Pop;230
253;Industrial;214
254;Anime;459
255;Latin;216
256;Electronic;124
257;Classical;143
258;Folk;403
259;Reggae;552
260;Pop;269
261;Electronic;143
262;Comedy;320
263;Folk;355
264;Blues;185
265;Dance;407
266;Blues;600
267;World;376
268;Jazz;251
269;Instrumental;126
270;Country;512
271;Vocal;120
272;Instrumental;334
273;Comedy;598
274;Jazz;279
275;Classical;202
276;Industrial;449
277;Reggae;525
278;World;358
279;Metal;533
280;Electronic;298
281;Jazz;377
282;Comedy;249
283;Industrial;303
284;Folk;311
285;Electronic;77
286;Comedy;330
287;Dance;131
288;Country;398
289;Folk;513
290;Classical;546
291;Jazz;195
292;Alternative;109
293;Industrial;156
294;Metal;361
295;Country;217
296;Dance;102
297;Pop;423
298;Blues;572
299;Blues;349
300;Country;531
301;Reggae;65
302;Dance;474
303;World;87
304;Comedy;494
305;Blues;549
306;World;466
307;World;428
308;Alternative;450
309;Latin;570
310;Pop;236
311;Rock;445
312;Reggae;78
313;Alternative;218
314;Comedy;70
315;Comedy;310
316;Jazz;93
317;Reggae;553
318;Latin;423
319;Comedy;182
320;R&B/Soul;137
321;Classical;590
322;Rock;103
323;World;333
324;Instrumental;256
325;Latin;226
326;Country;257
327;Comedy;94
328;Jazz;244
329;Reggae;129
330;Electronic;596
331;Reggae;319
332;Classical;154
333;Industrial;546
334;Rock;407
335;Anime;309
336;Rock;550
337;Comedy;466
338;Blues;591
339;Comedy;438
340;World;152
341;Blues;527
342;Anime;296
343;Industrial;238
344;Industrial;180
345;Alternative;323
346;Jazz;235
347;Vocal;253
348;Electronic;595
349;Pop;108
350;Latin;364
351;Classical;277
352;Metal;375
353;Alternative;364
354;Classical;527
355;Rock;164
356;Pop;119
357;Country;549
358;Metal;510
359;Comedy;316
360;Vocal;257
361;Electronic;507
362;Dance;311
363;Instrumental;97
364;Jazz;324
365;Rock;63
366;Reggae;282
367;Dance;551
368;Alternative;220
369;Reggae;269
370;Rock;358
371;Comedy;117
372;Instrumental;423
373;Rock;118
374;Electronic;486
375;Instrumental;463
376;World;408
377;Jazz;161
378;Jazz;512
379;Rock;137
380;R&B/Soul;367
381;World;94
382;Comedy;546
383;World;441
384;Country;221
385;Blues;289
386;Latin;90
387;Blues;218
388;Alternative;472
389;Jazz;145
390;Blues;235
391;Blues;283
392;World;419
393;Dance;75
394;Country;374
395;Country;297
396;R&B/Soul;184
397;Instrumental;136
398;Rock;179
399;Electronic;553
400;Classical;375
401;Country;507
402;Dance;457
403;Anime;194
404;Blues;423
405;Jazz;240
406;Latin;477
407;Dance;287
408;Electronic;309
409;Electronic;97
410;Folk;526
411;Industrial;593
412;Vocal;383
413;R&B/Soul;317
414;Blues;464
415;Vocal;529
416;Vocal;427
417;Rock;406
418;Country;466
419;Country;394
420;World;292
421;Pop;200
422;Pop;467
423;Pop;508
424;Vocal;274
425;Folk;457
426;Comedy;209
427;Rock;174
428;Dance;294
429;R&B/Soul;560
430;Comedy;358
431;Latin;241
432;Classical;328
433;Anime;246
434;Latin;136
435;Industrial;413
436;Dance;587
437;World;456
438;Alternative;484
439;Dance;231
440;Rock;479
441;World;386
442;Electronic;237
443;Blues;247
444;Anime;374
445;Classical;410
446;Metal;315
447;R&B/Soul;408
448;World;531
449;Alternative;433
450;R&B/Soul;541
451;Blues;403
452;Reggae;180
453;R&B/Soul;448
454;Blues;150
455;Anime;416
456;Latin;72
457;Rock;137
458;Blues;377
459;Dance;219
460;Industrial;240
461;Vocal;89
462;Country;374
463;Anime;187
464;World;88
465;Jazz;188
466;Jazz;142
467;Electronic;541
468;Comedy;554
469;Instrumental;148
470;Rock;438
471;Pop;510
472;Latin;62
473;Folk;122
474;Industrial;181
475;Country;266
476;Anime;125
477;Classical;202
478;Rock;244
479;Dance;70
480;World;528
481;Blues;525
482;Instrumental;80
483;Dance;106
484;World;396
485;Pop;566
486;Anime;85
487;Country;165
488;Instrumental;267
489;Dance;300
490;Alternative;207
491;Industrial;207
492;Industrial;311
493;Metal;448
494;Alternative;244
495;Folk;194
496;Country;98
497;Country;336
498;Rock;273
499;Blues;74
500;Alternative;356
501;Industrial;167
502;Classical;323
503;Folk;503
504;Folk;436
505;Reggae;540
506;Instrumental;148
507;Industrial;487
508;Jazz;324
509;Blues;171
510;Instrumental;398
511;Jazz;327
512;Instrumental;80
513;R&B/Soul;537
514;Vocal;186
515;Vocal;494
516;Latin;344
517;Instrumental;314
518;Country;366
519;Latin;581
520;World;131
521;Industrial;235
522;Blues;519
523;Latin;523
524;Folk;257
525;Alternative;102
526;Anime;285
527;Vocal;543
528;Dance;385
529;Jazz;276
530;Classical;587
531;Folk;596
532;Alternative;425
533;Vocal;516
534;Vocal;576
535;Blues;206
536;Industrial;486
537;R&B/Soul;311
538;Country;509
539;Jazz;560
540;Classical;430
541;Metal;324
542;Electronic;122
543;Pop;393
544;Jazz;314
545;Rock;399
546;Vocal;192
547;Instrumental;384
548;Classical;476
549;Anime;166
550;Electronic;308
551;Anime;366
552;Anime;472
553;Classical;61
554;Blues;309
555;Metal;176
556;Anime;591
557;Industrial;526
558;Pop;237
559;Jazz;242
560;Rock;350
561;Country;502
562;Dance;573
563;Country;417
564;Latin;212
565;Electronic;376
566;Jazz;286
567;Latin;161
568;Metal;93
569;Vocal;528
570;Country;163
571;Vocal;280
572;Reggae;268
573;Rock;592
574;Blues;455
575;Instrumental;116
576;Folk;506
577;R&B/Soul;259
578;Comedy;434
579;Vocal;581
580;Rock;363
581;Reggae;100
582;Metal;311
583;Metal;224
584;Jazz;147
585;Latin;338
586;Pop;155
587;Jazz;535
588;Reggae;422
589;World;186
590;Country;241
591;Alternative;519
592;R&B/Soul;541
593;Rock;595
594;Comedy;273
595;Electronic;216
596;Pop;79
597;Pop;381
598;Blues;249
599;Dance;300
600;Electronic;176
601;Vocal;159
602;Classical;243
603;Jazz;130
604;Alternative;251
605;Jazz;297
606;World;92
607;R&B/Soul;285
608;Folk;236
609;Alternative;65
610;Comedy;529
611;Reggae;246
612;Latin;302
613;Folk;480
614;Reggae;139
615;Comedy;253
616;Country;70
617;Reggae;227
618;Pop;250
619;Vocal;427
620;Instrumental;251
621;Metal;241
622;Electronic;553
623;Folk;332
624;Country;467
625;Country;505
626;Country;277
627;Folk;278
628;Anime;306
629;Blues;121
630;Reggae;589
631;Folk;386
632;Blues;394
633;Instrumental;498
634;Metal;501
635;Folk;468
636;Metal;251
637;Pop;111
638;Pop;369
639;World;168
640;Alternative;463
641;Country;452
642;Blues;382
643;Latin;530
644;Jazz;114
645;Pop;570
646;Instrumental;72
647;Classical;437
648;Rock;276
649;Country;495
650;Rock;325
651;Latin;506
652;Folk;597
653;Pop;259
654;Instrumental;166
655;Instrumental;89
656;Folk;373
657;Reggae;432
658;Latin;505
659;Dance;393
660;Comedy;196
661;Instrumental;441
662;Reggae;370
663;Jazz;107
664;R&B/Soul;418
665;Dance;527
666;World;281
667;Country;167
668;Latin;436
669;Anime;401
670;Instrumental;289
671;Classical;126
672;Reggae;154
673;Metal;150
674;Latin;202
675;Industrial;263
676;Blues;573
677;Dance;252
678;Dance;425
679;Anime;557
680;Comedy;270
681;Latin;497
682;Dance;249
683;Blues;585
684;Instrumental;232
685;Latin;68
686;Rock;167
687;World;298
688;Electronic;348
689;Classical;339
690;Alternative;469
691;Pop;381
692;Rock;72
693;Latin;124
694;Folk;548
695;Blues;254
696;Reggae;186
697;Comedy;126
698;Blues;172
699;World;344
700;Pop;419
701;Rock;220
702;Reggae;548
703;Country;416
704;Comedy;288
705;Dance;170
706;Pop;348
707;Jazz;111
708;Folk;462
709;Jazz;353
710;Rock;567
711;Classical;492
712;Dance;569
713;R&B/Soul;405
714;Folk;367
715;Anime;172
716;Pop;130
717;Folk;421
718;Pop;578
719;Latin;265
720;Latin;580
721;Reggae;363
722;World;239
723;World;547
724;Folk;585
725;Jazz;588
726;Anime;236
727;R&B/Soul;365
728;Comedy;331
729;Dance;419
730;Vocal;585
731;World;227
732;Folk;270
733;Classical;275
734;Electronic;570
735;Folk;382
736;Industrial;146
737;Blues;444
738;Anime;377
739;Country;552
740;Pop;406
741;Anime;168
742;Latin;392
743;Dance;199
744;Instrumental;489
745;World;203
746;Pop;555
747;R&B/Soul;160
748;Anime;590
749;Country;77
750;Pop;78
751;Electronic;261
752;Comedy;253
753;Country;296
754;Electronic;522
755;Country;304
756;Comedy;432
757;Electronic;448
758;Jazz;576
759;Reggae;90
760;Rock;238
761;Dance;376
762;World;194
763;Electronic;105
764;World;561
765;Comedy;465
766;Metal;579
767;World;245
768;Alternative;559
769;Comedy;121
770;R&B/Soul;107
771;Anime;487
772;Blues;354
773;Anime;101
774;Folk;364
775;Instrumental;406
776;Electronic;595
777;Classical;480
778;Electronic;209
779;Folk;430
780;Reggae;126
781;Latin;317
782;Comedy;73
783;Folk;409
784;Reggae;342
785;Country;514
786;Classical;225
787;Latin;237
788;Instrumental;144
789;Dance;82
790;Blues;262
791;Electronic;348
792;Vocal;250
793;Vocal;261
794;Folk;370
795;Instrumental;568
796;Vocal;361
797;Blues;154
798;Instrumental;586
799;Electronic;414
800;Anime;492
801;Jazz;257
802;Anime;237
803;Industrial;256
804;Rock;336
805;Jazz;526
806;Instrumental;525
807;Folk;297
808;Jazz;466
809;Anime;445
810;Anime;408
811;Latin;62
812;Country;406
813;Metal;598
814;Industrial;369
815;World;142
816;Rock;410
817;Metal;244
818;Pop;188
819;Latin;462
820;Country;307
821;Electronic;488
822;R&B/Soul;366
823;Dance;559
824;Latin;558
825;Industrial;173
826;Jazz;80
827;World;248
828;Latin;501
829;Alternative;556
830;Rock;537
831;Alternative;153
832;Vocal;450
833;Electronic;446
834;Pop;214
835;R&B/Soul;488
836;Comedy;224
837;Electronic;598
838;Blues;549
839;Dance;575
840;Instrumental;200
841;Blues;113
842;Reggae;478
843;Anime;314
844;Blues;496
845;Comedy;237
846;Vocal;503
847;Latin;583
848;Alternative;189
849;Comedy;549
850;World;240
851;Reggae;157
852;World;448
853;Jazz;200
854;Folk;444
855;Classical;271
856;Reggae;418
857;World;295
858;Vocal;194
859;Comedy;420
860;Folk;60
861;Rock;457
862;Blues;473
863;Rock;300
864;Folk;289
865;Electronic;73
866;Classical;145
867;Comedy;600
868;R&B/Soul;231
869;Instrumental;321
870;Vocal;370
871;Industrial;584
872;Classical;188
873;Pop;192
874;Electronic;237
875;R&B/Soul;391
876;Classical;331
877;Dance;319
878;Instrumental;487
879;Pop;211
880;Electronic;92
881;Country;132
882;Electronic;543
883;Instrumental;168
884;Jazz;337
885;Pop;385
886;Classical;583
887;R&B/Soul;78
888;Blues;385
889;Comedy;557
890;Vocal;539
891;Classical;126
892;Instrumental;522
893;Instrumental;376
894;Folk;326
895;Industrial;496
896;Metal;276
897;Pop;171
898;Metal;519
899;Pop;248
900;Rock;559
901;Classical;168
902;Vocal;273
903;Industrial;353
904;Anime;479
905;Latin;315
906;Alternative;197
907;Latin;171
908;Classical;345
909;Industrial;577
910;Latin;522
911;Comedy;60
912;Dance;102
913;Reggae;593
914;Rock;93
915;Electronic;501
916;Comedy;257
917;Folk;582
918;Anime;290
919;Jazz;197
920;Country;262
921;Reggae;355
922;Vocal;450
923;Comedy;219
924;Vocal;343
925;Dance;207
926;Folk;382
927;R&B/Soul;124
928;Latin;245
929;Instrumental;152
930;Vocal;254
931;Jazz;475
932;Industrial;488
933;Jazz;529
934;Country;592
935;Rock;316
936;Comedy;553
937;Anime;573
938;Alternative;415
939;Vocal;559
940;Classical;350
941;Country;105
942;Instrumental;413
943;Instrumental;241
944;Dance;182
945;World;586
946;Industrial;551
947;Country;558
948;Anime;245
949;Blues;449
950;Blues;508
951;Electronic;421
952;Rock;514
953;Vocal;328
954;Anime;478
955;Metal;484
956;Metal;387
957;Country;596
958;World;413
959;Alternative;246
960;Latin;596
961;Electronic;333
962;Instrumental;155
963;Comedy;383
964;Country;244
965;Industrial;140
966;Anime;485
967;Reggae;413
968;Country;462
969;Rock;149
970;Electronic;272
971;Pop;169
972;Folk;220
973;Electronic;242
974;Vocal;466
975;Classical;324
976;Blues;451
977;Blues;542
978;Blues;144
979;Folk;260
980;Country;116
981;Country;544
982;Vocal;377
983;Electronic;184
984;Reggae;257
985;Reggae;88
986;Alternative;154
987;Latin;140
988;Classical;141
989;Metal;318
990;Blues;276
991;Industrial;246
992;Rock;369
993;Industrial;594
994;Pop;532
995;R&B/Soul;90
996;Alternative;569
997;R&B/Soul;203
998;R&B/Soul;109
999;Latin;265
1000;Reggae;280
